filename,xmin,ymin,xmax,ymax,class
1478899513451670388.jpg,284,580,324,658,pedestrian
1478899513451670388.jpg,364,574,408,638,pedestrian
1478899513451670388.jpg,696,210,746,300,trafficLight
1478899513451670388.jpg,1100,380,1148,470,trafficLight
1478899513451670388.jpg,1106,386,1138,462,trafficLight
1478899513451670388.jpg,1162,552,1202,648,pedestrian
1478899513451670388.jpg,1242,554,1298,660,pedestrian
1478899513451670388.jpg,1252,558,1374,626,car
1478899513451670388.jpg,1364,534,1450,710,pedestrian
1478899513451670388.jpg,1376,536,1444,712,pedestrian
1478899513451670388.jpg,1448,108,1584,326,trafficLight
1478899513451670388.jpg,1472,130,1542,278,trafficLight
1478899513451670388.jpg,1520,514,1604,710,pedestrian
1478896915226675141.jpg,200,600,340,664,car
1478896915226675141.jpg,204,606,318,666,truck
1478896915226675141.jpg,318,610,348,670,pedestrian
1478732748771550639.jpg,430,450,470,528,trafficLight
1478732748771550639.jpg,536,580,734,738,car
1478732748771550639.jpg,698,244,730,336,trafficLight
1478732748771550639.jpg,1234,402,1276,492,trafficLight
1478732748771550639.jpg,1466,578,1566,664,car
1478732748771550639.jpg,1530,396,1916,664,car
1478732748771550639.jpg,1546,402,1918,662,truck
1478897175162175499.jpg,544,624,636,688,car
1478897175162175499.jpg,554,620,634,692,car
1478897175162175499.jpg,630,552,742,662,truck
1478897175162175499.jpg,938,602,1052,688,car
1478897175162175499.jpg,940,600,1066,680,car
1478897175162175499.jpg,1286,570,1588,688,car
1478732989060931744.jpg,202,536,482,728,car
1478732989060931744.jpg,254,532,530,742,car
1478732989060931744.jpg,630,574,790,636,car
1478732989060931744.jpg,1126,532,1242,604,car
1478732989060931744.jpg,1136,540,1218,612,car
1478732989060931744.jpg,1216,414,1332,634,truck
1478732989060931744.jpg,1224,420,1342,676,car
1478732989060931744.jpg,1302,176,1644,752,truck
1478732989060931744.jpg,1310,126,1794,718,truck
1478899195243608314.jpg,624,636,660,672,car
1478899195243608314.jpg,676,624,732,666,car
1478899195243608314.jpg,680,622,720,664,truck
1478899195243608314.jpg,746,526,908,742,truck
1478899195243608314.jpg,894,624,968,720,car
1478899195243608314.jpg,966,640,1026,698,car
1478899195814417500.jpg,574,598,618,632,car
1478899195814417500.jpg,634,584,674,626,truck
1478899195814417500.jpg,638,588,684,628,car
1478899195814417500.jpg,682,506,848,714,truck
1478899195814417500.jpg,848,598,950,690,car
1478899195814417500.jpg,938,604,998,662,car
1478897884704190686.jpg,116,574,312,698,car
1478897884704190686.jpg,290,610,432,690,car
1478897884704190686.jpg,312,576,444,648,car
1478897884704190686.jpg,440,478,660,680,truck
1478897884704190686.jpg,654,610,724,654,car
1478897884704190686.jpg,702,596,776,648,car
1478897884704190686.jpg,792,346,828,418,trafficLight
1478897884704190686.jpg,938,342,982,420,trafficLight
1478897884704190686.jpg,1026,598,1078,642,car
1478897884704190686.jpg,1212,456,1264,540,trafficLight
1478732244679343423.jpg,0,524,176,846,car
1478732244679343423.jpg,360,584,418,626,car
1478732244679343423.jpg,420,312,454,390,trafficLight
1478732244679343423.jpg,422,588,492,632,car
1478732244679343423.jpg,426,312,466,394,trafficLight
1478732244679343423.jpg,428,586,494,624,car
1478732244679343423.jpg,502,578,576,626,car
1478732244679343423.jpg,624,308,660,380,trafficLight
1478732244679343423.jpg,624,308,662,384,trafficLight
1478732244679343423.jpg,628,530,816,662,car
1478732244679343423.jpg,772,306,812,380,trafficLight
1478732244679343423.jpg,780,322,814,376,trafficLight
1478732244679343423.jpg,782,558,858,646,car
1478732244679343423.jpg,790,558,856,642,car
1478732244679343423.jpg,902,550,1008,648,car
1478732244679343423.jpg,1108,542,1168,652,biker
1478732244679343423.jpg,1114,546,1158,654,biker
1478732244679343423.jpg,1174,454,1208,498,trafficLight
1478732244679343423.jpg,1250,558,1386,612,car
1478732244679343423.jpg,1380,292,1436,420,trafficLight
1478732244679343423.jpg,1382,290,1448,410,trafficLight
1478732244679343423.jpg,1448,560,1714,638,car
1478898234904991886.jpg,476,590,546,676,truck
1478898234904991886.jpg,478,592,546,682,truck
1478898234904991886.jpg,556,624,626,684,car
1478898234904991886.jpg,626,630,660,670,car
1478898234904991886.jpg,1072,588,1110,676,pedestrian
1478898234904991886.jpg,1082,584,1112,684,pedestrian
1478898234904991886.jpg,1114,596,1130,676,pedestrian
1478898234904991886.jpg,1128,598,1174,678,pedestrian
1478898234904991886.jpg,1130,598,1174,674,pedestrian
1478898261755538617.jpg,358,420,920,928,car
1478898261755538617.jpg,816,436,840,484,trafficLight
1478898261755538617.jpg,864,472,890,526,trafficLight
1478898261755538617.jpg,986,466,1012,514,trafficLight
1478898261755538617.jpg,1000,544,1050,658,biker
1478898261755538617.jpg,1202,354,1236,426,trafficLight
1478898261755538617.jpg,1208,350,1248,426,trafficLight
1478897941833302131.jpg,162,282,196,360,trafficLight
1478897941833302131.jpg,302,586,370,632,car
1478897941833302131.jpg,428,504,570,658,truck
1478897941833302131.jpg,568,314,600,372,trafficLight
1478897941833302131.jpg,866,580,1306,882,car
1478897941833302131.jpg,882,430,920,508,trafficLight
1478897941833302131.jpg,1356,574,1566,662,car
1478897941833302131.jpg,1534,548,1626,782,pedestrian
1478897941833302131.jpg,1540,522,1608,716,pedestrian
1478897941833302131.jpg,1632,526,1706,782,pedestrian
1478732162671531775.jpg,130,430,464,686,car
1478732162671531775.jpg,470,536,724,696,car
1478732162671531775.jpg,688,502,798,610,truck
1478732162671531775.jpg,782,540,858,614,car
1478732162671531775.jpg,846,554,902,606,car
1478732162671531775.jpg,924,562,1000,618,car
1478899503739092243.jpg,670,444,694,480,trafficLight
1478899503739092243.jpg,672,440,696,488,trafficLight
1478899503739092243.jpg,692,606,814,698,car
1478899503739092243.jpg,694,606,808,700,car
1478899503739092243.jpg,802,466,834,510,trafficLight
1478899503739092243.jpg,808,472,830,510,trafficLight
1478899503739092243.jpg,972,552,994,588,trafficLight
1478899503739092243.jpg,1016,534,1040,574,trafficLight
1478899503739092243.jpg,1366,518,1468,810,biker
1478899503739092243.jpg,1746,584,1776,660,pedestrian
1478898546829659115.jpg,256,548,408,648,truck
1478898546829659115.jpg,260,542,408,656,car
1478898546829659115.jpg,388,568,432,646,pedestrian
1478898546829659115.jpg,690,556,716,636,pedestrian
1478898546829659115.jpg,714,558,732,628,pedestrian
1478898546829659115.jpg,746,554,790,646,pedestrian
1478898546829659115.jpg,1266,556,1460,680,car
1478898546829659115.jpg,1272,546,1378,676,car
1478898546829659115.jpg,1570,542,1916,752,car
1478899156395484502.jpg,274,596,392,666,car
1478899156395484502.jpg,580,592,674,664,car
1478899156395484502.jpg,714,596,770,648,car
1478899156395484502.jpg,886,540,998,666,truck
1478897957257988193.jpg,396,628,518,696,car
1478897957257988193.jpg,400,628,520,696,pedestrian
1478897957257988193.jpg,692,600,728,686,pedestrian
1478897957257988193.jpg,724,602,748,688,pedestrian
1478897957257988193.jpg,746,598,778,680,pedestrian
1478897957257988193.jpg,892,304,1408,740,truck
1478896357075802708.jpg,226,592,284,628,car
1478896357075802708.jpg,264,608,340,644,car
1478896357075802708.jpg,274,592,356,626,car
1478896357075802708.jpg,292,620,406,674,car
1478896357075802708.jpg,294,612,392,682,car
1478896357075802708.jpg,398,558,504,674,car
1478896357075802708.jpg,408,568,492,656,truck
1478896357075802708.jpg,518,596,638,692,car
1478896357075802708.jpg,638,596,686,632,car
1478896357075802708.jpg,706,592,760,636,car
1478896357075802708.jpg,736,494,762,538,trafficLight
1478896357075802708.jpg,796,498,832,532,trafficLight
1478896357075802708.jpg,900,542,926,582,trafficLight
1478896357075802708.jpg,934,536,958,572,trafficLight
1478897857282331271.jpg,16,600,108,696,biker
1478897857282331271.jpg,36,608,68,704,pedestrian
1478897857282331271.jpg,48,610,108,696,biker
1478897857282331271.jpg,66,598,94,690,pedestrian
1478897857282331271.jpg,84,494,122,556,trafficLight
1478897857282331271.jpg,132,598,178,694,pedestrian
1478897857282331271.jpg,148,604,168,686,biker
1478897857282331271.jpg,160,606,208,688,biker
1478897857282331271.jpg,166,606,198,686,biker
1478897857282331271.jpg,246,586,414,674,car
1478897857282331271.jpg,254,576,412,676,truck
1478897857282331271.jpg,406,580,514,648,truck
1478897857282331271.jpg,410,584,530,654,car
1478897857282331271.jpg,420,610,530,668,car
1478897857282331271.jpg,524,572,570,660,pedestrian
1478897857282331271.jpg,534,490,726,666,truck
1478897857282331271.jpg,772,604,818,644,car
1478897857282331271.jpg,842,352,880,420,trafficLight
1478897857282331271.jpg,866,592,920,640,car
1478897857282331271.jpg,974,350,1018,430,trafficLight
1478897857282331271.jpg,1000,554,1170,664,car
1478897857282331271.jpg,1238,452,1280,528,trafficLight
1478897857282331271.jpg,16,600,108,696,biker
1478897857282331271.jpg,36,608,68,704,pedestrian
1478897857282331271.jpg,48,610,108,696,biker
1478897857282331271.jpg,66,598,94,690,pedestrian
1478897857282331271.jpg,84,494,122,556,trafficLight
1478897857282331271.jpg,132,598,178,694,pedestrian
1478897857282331271.jpg,148,604,168,686,biker
1478897857282331271.jpg,160,606,208,688,biker
1478897857282331271.jpg,166,606,198,686,biker
1478897857282331271.jpg,246,586,414,674,car
1478897857282331271.jpg,254,576,412,676,truck
1478897857282331271.jpg,406,580,514,648,truck
1478897857282331271.jpg,410,584,530,654,car
1478897857282331271.jpg,420,610,530,668,car
1478897857282331271.jpg,524,572,570,660,pedestrian
1478897857282331271.jpg,534,490,726,666,truck
1478897857282331271.jpg,772,604,818,644,car
1478897857282331271.jpg,842,352,880,420,trafficLight
1478897857282331271.jpg,866,592,920,640,car
1478897857282331271.jpg,974,350,1018,430,trafficLight
1478897857282331271.jpg,1000,554,1170,664,car
1478897857282331271.jpg,1238,452,1280,528,trafficLight
1478896977496259785.jpg,824,612,880,658,car
1478896977496259785.jpg,938,602,1012,666,car
1478896977496259785.jpg,946,610,1008,666,car
1478896977496259785.jpg,1204,514,1320,832,biker
1478896977496259785.jpg,1220,520,1314,850,biker
1478896977496259785.jpg,1494,580,1694,652,car
1478896977496259785.jpg,1810,608,1892,658,car
1478021861579942332.jpg,408,572,526,638,car
1478021861579942332.jpg,718,564,758,624,biker
1478021861579942332.jpg,876,552,940,618,car
1478021861579942332.jpg,1026,572,1072,608,car
1478901197613069513.jpg,198,600,424,756,car
1478901197613069513.jpg,496,636,588,696,car
1478901197613069513.jpg,630,604,688,660,car
1478901197613069513.jpg,694,620,742,654,car
1478901197613069513.jpg,792,616,842,644,car
1478901197613069513.jpg,870,616,894,662,biker
1478901197613069513.jpg,932,618,1004,668,car
1478901197613069513.jpg,1212,586,1628,846,car
1478897377398795157.jpg,0,470,244,690,truck
1478897377398795157.jpg,116,608,324,742,car
1478897377398795157.jpg,218,498,466,652,car
1478897377398795157.jpg,266,540,830,958,car
1478897377398795157.jpg,586,440,888,754,car
1478897377398795157.jpg,758,468,906,780,car
1478897377398795157.jpg,922,596,1036,698,car
1478897377398795157.jpg,992,574,1048,706,car
1478897377398795157.jpg,1018,534,1182,730,car
1478897377398795157.jpg,1088,558,1424,778,car
1478897377398795157.jpg,1330,454,1542,690,truck
1478897377398795157.jpg,1344,470,1552,688,car
1478899947060215542.jpg,60,650,254,716,car
1478899947060215542.jpg,238,456,510,734,truck
1478899947060215542.jpg,558,614,642,674,car
1478899947060215542.jpg,690,532,1252,934,car
1478899947060215542.jpg,708,610,760,652,car
1478899947060215542.jpg,848,494,870,536,trafficLight
1478899947060215542.jpg,1384,552,1428,674,pedestrian
1478899947060215542.jpg,1386,556,1428,666,pedestrian
1478896399352049742.jpg,14,276,1058,904,truck
1478896399352049742.jpg,992,538,1440,824,car
1478896399352049742.jpg,1416,620,1484,714,car
1478896399352049742.jpg,1678,604,1768,668,car
1478896399352049742.jpg,1684,620,1746,664,car
1478897985822584714.jpg,106,510,352,710,truck
1478897985822584714.jpg,540,542,1052,950,car
1478897985822584714.jpg,544,596,596,642,car
1478897985822584714.jpg,800,448,834,494,trafficLight
1478897985822584714.jpg,808,450,828,482,trafficLight
1478897985822584714.jpg,952,542,1016,652,car
1478897985822584714.jpg,1356,518,1444,748,pedestrian
1478732642677891403.jpg,120,4,756,634,truck
1478732642677891403.jpg,562,570,604,630,pedestrian
1478732642677891403.jpg,630,542,674,652,pedestrian
1478732642677891403.jpg,708,548,746,632,pedestrian
1478732642677891403.jpg,880,528,1078,686,car
1478732642677891403.jpg,1118,564,1166,648,car
1478732642677891403.jpg,1134,424,1474,704,truck
1478899512310306639.jpg,52,570,376,672,truck
1478899512310306639.jpg,400,602,428,666,pedestrian
1478899512310306639.jpg,436,606,480,670,pedestrian
1478899512310306639.jpg,736,302,786,392,trafficLight
1478899512310306639.jpg,1072,444,1106,512,trafficLight
1478899512310306639.jpg,1074,442,1106,518,trafficLight
1478899512310306639.jpg,1098,560,1550,882,car
1478899512310306639.jpg,1232,322,1310,454,trafficLight
1478899512310306639.jpg,1242,336,1294,444,trafficLight
1478732264177902965.jpg,22,500,596,910,car
1478732264177902965.jpg,618,534,754,646,car
1478732264177902965.jpg,624,366,656,430,trafficLight
1478732264177902965.jpg,730,566,860,640,car
1478732264177902965.jpg,804,370,830,426,trafficLight
1478732264177902965.jpg,836,564,898,612,car
1478732264177902965.jpg,898,558,928,618,car
1478732264177902965.jpg,916,392,946,438,trafficLight
1478732264177902965.jpg,948,562,1012,612,car
1478732264177902965.jpg,1020,536,1074,594,truck
1478732264177902965.jpg,1140,558,1264,678,car
1478732264177902965.jpg,1144,468,1176,532,trafficLight
1478732264177902965.jpg,1146,476,1174,520,trafficLight
1478732264177902965.jpg,1232,570,1456,702,car
1478732264177902965.jpg,1258,426,1290,490,trafficLight
1478732264177902965.jpg,1268,430,1310,492,trafficLight
1478732264177902965.jpg,1634,554,1792,610,car
1478732264177902965.jpg,1644,534,1814,616,car
1478900981667867332.jpg,674,594,812,718,car
1478900981667867332.jpg,800,534,952,690,car
1478900981667867332.jpg,802,538,942,686,truck
1478900981667867332.jpg,1052,582,1506,856,car
1478020392196600687.jpg,42,532,134,674,pedestrian
1478020392196600687.jpg,74,534,132,670,pedestrian
1478020392196600687.jpg,182,328,214,420,trafficLight
1478020392196600687.jpg,396,548,438,654,pedestrian
1478020392196600687.jpg,398,496,644,742,biker
1478020392196600687.jpg,1126,288,1174,380,trafficLight
1478020392196600687.jpg,1350,522,1412,660,pedestrian
1478020392196600687.jpg,1354,512,1440,662,pedestrian
1478898081799112036.jpg,196,402,962,1012,car
1478898081799112036.jpg,228,502,266,524,trafficLight
1478898081799112036.jpg,680,358,704,404,trafficLight
1478898081799112036.jpg,856,364,890,420,trafficLight
1478898081799112036.jpg,1018,88,1872,820,truck
1478897897272970447.jpg,40,606,214,718,car
1478897897272970447.jpg,200,608,356,690,car
1478897897272970447.jpg,434,598,562,688,car
1478897897272970447.jpg,792,346,830,420,trafficLight
1478897897272970447.jpg,860,594,1040,674,car
1478897897272970447.jpg,934,342,980,420,trafficLight
1478897897272970447.jpg,962,518,1074,656,truck
1478897897272970447.jpg,968,512,1066,642,truck
1478897897272970447.jpg,1212,454,1262,538,trafficLight
1478897897272970447.jpg,1702,546,1914,1170,car
1478732991928741610.jpg,128,542,472,682,car
1478732991928741610.jpg,416,576,548,664,car
1478732991928741610.jpg,1044,524,1356,660,car
1478732991928741610.jpg,1262,554,1500,676,car
1478732991928741610.jpg,1414,76,1916,920,truck
1478897870422194753.jpg,10,606,72,710,biker
1478897870422194753.jpg,18,610,56,694,biker
1478897870422194753.jpg,148,578,328,696,car
1478897870422194753.jpg,156,582,334,688,truck
1478897870422194753.jpg,324,604,468,682,car
1478897870422194753.jpg,328,584,456,628,car
1478897870422194753.jpg,334,588,440,648,truck
1478897870422194753.jpg,450,476,658,686,truck
1478897870422194753.jpg,658,604,720,646,car
1478897870422194753.jpg,720,596,788,650,car
1478897870422194753.jpg,794,350,832,416,trafficLight
1478897870422194753.jpg,896,576,994,656,car
1478897870422194753.jpg,940,344,980,418,trafficLight
1478897870422194753.jpg,1216,456,1258,532,trafficLight
1478897870422194753.jpg,1516,582,1758,688,car
1478897870422194753.jpg,10,606,72,710,biker
1478897870422194753.jpg,18,610,56,694,biker
1478897870422194753.jpg,148,578,328,696,car
1478897870422194753.jpg,156,582,334,688,truck
1478897870422194753.jpg,324,604,468,682,car
1478897870422194753.jpg,328,584,456,628,car
1478897870422194753.jpg,334,588,440,648,truck
1478897870422194753.jpg,450,476,658,686,truck
1478897870422194753.jpg,658,604,720,646,car
1478897870422194753.jpg,720,596,788,650,car
1478897870422194753.jpg,794,350,832,416,trafficLight
1478897870422194753.jpg,896,576,994,656,car
1478897870422194753.jpg,940,344,980,418,trafficLight
1478897870422194753.jpg,1216,456,1258,532,trafficLight
1478897870422194753.jpg,1516,582,1758,688,car
1478896999205403273.jpg,264,618,448,686,car
1478896999205403273.jpg,318,572,434,728,biker
1478896999205403273.jpg,352,584,420,700,biker
1478896999205403273.jpg,626,608,686,658,car
1478896999205403273.jpg,688,602,740,654,car
1478896999205403273.jpg,848,582,1080,756,car
1478898037809916488.jpg,0,530,216,754,truck
1478898037809916488.jpg,134,652,310,756,car
1478898037809916488.jpg,310,652,402,728,car
1478898037809916488.jpg,402,648,462,714,car
1478898037809916488.jpg,504,652,564,698,car
1478898037809916488.jpg,584,228,630,320,trafficLight
1478898037809916488.jpg,656,606,872,776,car
1478898037809916488.jpg,866,274,910,358,trafficLight
1478898037809916488.jpg,1074,492,1652,898,car
1478898037809916488.jpg,1260,430,1304,510,trafficLight
1478898634236230388.jpg,86,586,212,670,car
1478898634236230388.jpg,92,578,214,658,car
1478898634236230388.jpg,218,584,320,658,car
1478898634236230388.jpg,542,570,606,660,biker
1478898634236230388.jpg,548,568,612,660,biker
1478898634236230388.jpg,1090,568,1168,626,car
1478898634236230388.jpg,1094,564,1168,626,car
1478898634236230388.jpg,1210,550,1364,650,car
1478898634236230388.jpg,1540,544,1908,794,car
1478898634236230388.jpg,1548,536,1916,780,car
1478901388995155107.jpg,334,624,450,686,car
1478901388995155107.jpg,342,624,440,688,car
1478901388995155107.jpg,658,614,720,664,car
1478901388995155107.jpg,846,604,930,676,car
1478901388995155107.jpg,924,592,1106,742,car
1478901388995155107.jpg,1072,590,1148,664,truck
1478901388995155107.jpg,1078,582,1160,668,car
1478901388995155107.jpg,1228,614,1348,698,car
1478901388995155107.jpg,1478,594,1914,818,car
1478901388995155107.jpg,1828,616,1894,692,car
1478899997906328238.jpg,694,664,744,704,car
1478899997906328238.jpg,716,352,778,480,trafficLight
1478899997906328238.jpg,724,378,766,460,trafficLight
1478899997906328238.jpg,952,518,996,610,trafficLight
1478899997906328238.jpg,968,526,994,580,trafficLight
1478899997906328238.jpg,1154,626,1196,726,pedestrian
1478899997906328238.jpg,1308,600,1394,736,pedestrian
1478899997906328238.jpg,1314,614,1360,716,pedestrian
1478899997906328238.jpg,1542,590,1748,710,car
1478899997906328238.jpg,1718,546,1918,706,car
1478899997906328238.jpg,1816,580,1916,1052,biker
1478900613755886070.jpg,216,574,342,648,car
1478900613755886070.jpg,216,576,340,652,truck
1478020298698253922.jpg,76,574,158,680,biker
1478020298698253922.jpg,88,452,126,514,trafficLight
1478020298698253922.jpg,712,432,748,498,trafficLight
1478020298698253922.jpg,722,590,766,632,car
1478020298698253922.jpg,1016,570,1130,654,car
1478020298698253922.jpg,1028,576,1112,654,car
1478020298698253922.jpg,1236,426,1274,502,trafficLight
1478020298698253922.jpg,1830,422,1918,936,car
1478020980224740162.jpg,2,204,516,956,car
1478020980224740162.jpg,4,210,496,952,truck
1478020980224740162.jpg,650,486,1270,1002,car
1478020980224740162.jpg,656,318,694,404,trafficLight
1478020980224740162.jpg,664,318,694,364,trafficLight
1478020980224740162.jpg,892,248,928,328,trafficLight
1478020980224740162.jpg,1220,412,1258,464,trafficLight
1478020980224740162.jpg,1222,526,1272,642,biker
1478020980224740162.jpg,1354,516,1628,658,car
1478020980224740162.jpg,1370,518,1544,648,car
1478020980224740162.jpg,1396,500,1916,916,car
1478020980224740162.jpg,1866,224,1916,324,trafficLight
1478020980224740162.jpg,1876,220,1918,270,trafficLight
1478020980224740162.jpg,2,204,516,956,car
1478020980224740162.jpg,4,210,496,952,truck
1478020980224740162.jpg,650,486,1270,1002,car
1478020980224740162.jpg,656,318,694,404,trafficLight
1478020980224740162.jpg,664,318,694,364,trafficLight
1478020980224740162.jpg,892,248,928,328,trafficLight
1478020980224740162.jpg,1220,412,1258,464,trafficLight
1478020980224740162.jpg,1222,526,1272,642,biker
1478020980224740162.jpg,1354,516,1628,658,car
1478020980224740162.jpg,1370,518,1544,648,car
1478020980224740162.jpg,1396,500,1916,916,car
1478020980224740162.jpg,1866,224,1916,324,trafficLight
1478020980224740162.jpg,1876,220,1918,270,trafficLight
1478732237226581995.jpg,414,476,586,640,car
1478732237226581995.jpg,418,484,588,642,truck
1478732237226581995.jpg,582,504,762,658,car
1478732237226581995.jpg,712,458,730,490,trafficLight
1478732237226581995.jpg,760,556,810,630,car
1478732237226581995.jpg,786,456,816,498,trafficLight
1478732237226581995.jpg,806,534,984,680,car
1478732237226581995.jpg,852,456,880,500,trafficLight
1478732237226581995.jpg,1008,540,1052,616,biker
1478732237226581995.jpg,1020,520,1046,556,trafficLight
1478732237226581995.jpg,1032,496,1064,546,trafficLight
1478732237226581995.jpg,1360,530,1856,836,car
1478732237226581995.jpg,414,476,586,640,car
1478732237226581995.jpg,418,484,588,642,truck
1478732237226581995.jpg,582,504,762,658,car
1478732237226581995.jpg,712,458,730,490,trafficLight
1478732237226581995.jpg,760,556,810,630,car
1478732237226581995.jpg,786,456,816,498,trafficLight
